lon,lat,ppi
27.744411,43.587021,0.000000
27.887653,43.590140,0.187851
27.816957,43.510530,0.000000
27.787058,43.504077,0.064833
27.820226,43.578308,0.242382
27.792278,43.477568,0.572554
27.735873,43.587797,0.000000
27.785769,43.528667,0.000000
27.875610,43.485695,0.437810
27.853562,43.456778,0.000000
27.848185,43.478878,0.000000
27.740729,43.579662,0.048338
27.815025,43.532424,0.000000
27.810749,43.508864,0.000000
27.735699,43.573481,0.201370
27.840658,43.569066,0.328589
27.700595,43.589999,0.000000
27.730378,43.450697,0.385279
27.796978,43.515264,0.000000
27.782891,43.507077,0.197525
27.834223,43.524542,0.041064
27.869199,43.564620,0.079131
27.806261,43.534107,0.000000
27.745482,43.523174,0.000000
27.898471,43.484527,0.009192
27.760208,43.562696,0.820876
27.725831,43.463242,0.663495
27.760779,43.539191,0.000000
27.714291,43.533008,0.032762
27.707099,43.574202,0.205392
27.754605,43.560212,0.743423
27.824325,43.497421,0.000000
27.897613,43.459952,0.020237
27.838733,43.474896,0.000000
27.824529,43.503273,0.000000
27.887437,43.465704,0.344004
27.799947,43.599522,0.053580
27.792502,43.475766,0.000000
27.804040,43.450743,0.000000
27.886667,43.539815,0.203412
27.900882,43.555191,0.079412
27.763843,43.595537,0.000000
27.898637,43.570696,0.000000
27.760944,43.552246,0.813772
27.715257,43.593780,0.000000
27.721310,43.592301,0.000000
27.733115,43.482915,0.851974
27.758447,43.540737,0.457383
27.800479,43.536759,0.395255
27.801914,43.588973,1.656933
27.859724,43.499051,0.340704
27.762610,43.507664,0.065660
27.732147,43.484632,0.538265
27.706709,43.561959,0.676375
27.804218,43.473523,0.000000
27.874400,43.453198,0.000000
27.778223,43.509630,0.000000
27.801427,43.570968,0.545296
27.740361,43.569849,0.000000
27.835324,43.460784,0.000000
27.716999,43.469061,0.346556
27.709473,43.491528,0.074580
27.895265,43.543710,0.038331
27.843617,43.550405,0.000000
27.801266,43.530811,0.017646
27.789090,43.555567,0.061153
27.755832,43.539494,0.180477
27.747532,43.478770,1.017126
27.716773,43.543978,0.032492
27.862883,43.573222,0.000000
27.890589,43.545637,0.071200
27.847718,43.463124,0.016826
27.776038,43.464623,0.000000
27.857777,43.544988,0.052265
27.896211,43.599168,0.160065
27.856950,43.460354,0.000000
27.750608,43.587251,0.000000
27.780120,43.532038,0.000000
27.880715,43.496551,0.002340
27.834407,43.537867,0.000000
27.755899,43.534902,0.000000
27.898986,43.485873,0.000000
27.871795,43.538489,0.122665
27.867031,43.499717,0.000000
27.763200,43.525038,0.665728
27.791252,43.512602,0.115176
27.821004,43.526169,0.653785
27.782857,43.456563,0.031004
27.733775,43.476158,0.469591
27.872205,43.472484,0.000000
27.879288,43.585703,0.000000
27.808796,43.557140,0.433752
27.784411,43.576669,0.000000
27.713896,43.520495,0.064826
27.751619,43.519172,0.000000
27.895349,43.482480,0.000000
27.772301,43.501206,0.068463
27.700549,43.553983,0.203613
27.854207,43.485046,0.000000
27.836470,43.579631,0.614416
27.838561,43.578626,0.229450
27.734089,43.451034,0.339711
27.861122,43.475630,0.000000
27.847022,43.546058,0.646325
27.834932,43.522106,0.073033
27.803633,43.485323,0.618808
27.760837,43.583131,0.019852
27.741832,43.548500,0.000000
27.838816,43.463010,0.000000
27.800347,43.573587,0.103607
27.743894,43.504726,0.000000
27.847475,43.569556,0.189846
27.864407,43.549890,0.228605
27.870300,43.537870,0.089642
27.880081,43.589118,0.097560
27.771219,43.552267,0.509379
27.828145,43.595809,0.000000
27.840970,43.573746,0.208365
27.750766,43.600035,0.000000
27.849001,43.598808,0.000000
27.754103,43.490072,0.516148
27.719906,43.495245,0.649821
27.887470,43.594554,0.000000
27.722598,43.503152,0.982387
27.702051,43.470054,0.000000
27.867004,43.489182,0.000000
27.761509,43.577454,0.084782
27.754360,43.510780,0.066502
27.716825,43.548389,0.091944
27.863562,43.534049,0.000000
27.767642,43.543557,0.030236
27.894420,43.536783,0.121047
27.752035,43.482882,0.434654
27.827473,43.582938,0.000000
27.861373,43.571523,0.032845
27.896859,43.475895,0.465888
27.815608,43.474613,0.000000
27.748089,43.553952,0.837433
27.795051,43.556966,1.053883
27.846873,43.526520,0.430164
27.715578,43.516252,0.079322
27.891157,43.542121,0.020824
27.762030,43.559892,0.301744
27.820320,43.548684,0.483635
27.787572,43.496060,0.000000
27.792604,43.493053,0.027185
27.728083,43.465479,0.788662
27.765874,43.511424,0.149907
27.765158,43.523315,0.139517
27.815389,43.504329,0.000000
27.883575,43.599266,0.437998
27.855636,43.524924,0.071476
27.896094,43.516150,0.166264
27.807040,43.499706,0.000000
27.733492,43.554857,0.077531
27.838072,43.453921,0.000000
27.854144,43.576980,0.398879
27.855662,43.509257,0.000000
27.869473,43.523379,0.031779
27.739256,43.499714,0.743391
27.749183,43.592212,0.111582
27.763878,43.500272,0.082907
27.885261,43.477517,0.000000
27.877310,43.568880,0.021673
27.738964,43.567067,0.000000
27.706569,43.560609,0.826118
27.800711,43.479491,0.000000
27.824381,43.546944,0.157530
27.800948,43.506772,0.000000
27.825851,43.591144,0.279569
27.702014,43.594853,0.000000
27.798667,43.474462,0.000000
27.789024,43.503073,0.362267
27.850820,43.534415,0.030651
27.899793,43.506937,0.000000
27.750786,43.501890,0.956189
27.716380,43.594403,0.000000
27.768091,43.481335,0.000000
27.735273,43.548632,0.000000
27.789413,43.523420,0.000000
27.856536,43.544817,0.056939
27.800829,43.572593,0.203216
27.887399,43.522251,0.000000
27.882805,43.572080,0.000000
27.844665,43.545716,0.000000
27.768609,43.570924,0.064652
27.890519,43.549239,0.184484
27.707693,43.550877,0.015250
27.815496,43.576541,0.386381
27.858583,43.584330,0.000000
27.895911,43.453572,0.019559
27.772595,43.456363,0.085460
27.803985,43.558435,0.561889
27.724360,43.526372,0.000000
27.863325,43.517393,0.000000
27.768413,43.584701,0.320342
27.846171,43.573707,0.726670
27.727437,43.452877,0.169377
27.841642,43.595261,0.000000
27.845670,43.449273,0.069612
27.708536,43.506571,0.003264
27.885666,43.462926,0.035598
27.839967,43.528282,0.000000
27.833720,43.550928,0.512041
27.851652,43.505595,0.000000
27.774851,43.458779,0.082600
27.805073,43.500620,0.000000
